Data is Provisional and subject to change. Data presented is reported as of 11/8/2021
CountyName,CumulativeCases,CasesChange,TotalTested,TotalTestedChange,Deaths,DeathsChange,ReportDate
Madison,1,0,0,0,0,0,3/20/2020 12:00:00 AM
Marion,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Marshall,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Mason,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Massac,0,0,0,0,0,0,3/20/2020 12:00:00 AM
McDonough,0,0,0,0,0,0,3/20/2020 12:00:00 AM
McHenry,8,2,0,0,0,0,3/20/2020 12:00:00 AM
McLean,4,4,0,0,0,0,3/20/2020 12:00:00 AM
Menard,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Mercer,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Monroe,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Montgomery,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Morgan,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Moultrie,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Ogle,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Peoria,3,0,0,0,0,0,3/20/2020 12:00:00 AM
Perry,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Piatt,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Pike,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Pope,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Pulaski,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Putnam,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Randolph,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Richland,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Rock Island,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Saline,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Sangamon,4,0,0,0,1,1,3/20/2020 12:00:00 AM
Schuyler,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Scott,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Shelby,0,0,0,0,0,0,3/20/2020 12:00:00 AM
St. Clair,3,0,0,0,0,0,3/20/2020 12:00:00 AM
Stark,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Stephenson,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Tazewell,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Union,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Vermilion,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Wabash,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Warren,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Washington,1,0,0,0,0,0,3/20/2020 12:00:00 AM
Wayne,0,0,0,0,0,0,3/20/2020 12:00:00 AM
White,0,0,0,0,0,0,3/20/2020 12:00:00 AM
Whiteside,1,0,0,0,0,0,3/20/2020 12:00:00 AM
Will,10,1,0,0,1,1,3/20/2020 12:00:00 AM
